26-10-2023 07:20:37: General Functions  :- sp_TransactionError : Invalid column name 'udp_rot_ID'. - 
26-10-2023 07:20:38: General Functions  :- sp_TransactionError : Ambiguous column name 'Status'. - 
26-10-2023 07:20:56: General Functions  :- sp_TransactionError : Ambiguous column name 'Status'. - 
26-10-2023 07:21:03: General Functions  :- sp_TransactionError : Ambiguous column name 'Status'. - 
26-10-2023 07:45:16: General Functions  :- sp_TransactionError : Invalid column name 'udp_rot_ID'. - 
26-10-2023 10:32:36: General Functions  :- sp_TransactionError : Invalid column name 'udp_rot_ID'. - 
26-10-2023 11:11:10: General Functions  :- sp_TransactionError : Invalid column name 'udp_rot_ID'. - 
26-10-2023 11:40:34: General Functions  :- sp_TransactionError : Invalid column name 'udp_rot_ID'. - 
26-10-2023 11:59:08: General Functions  :- sp_LeftNavigationError : Execution Timeout Expired.  The timeout period elapsed prior to completion of the operation or the server is not responding. - The wait operation timed out
26-10-2023 12:01:36: General Functions  :- sp_MastersError : A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: TCP Provider, error: 0 - The network location cannot be reached. For information about network troubleshooting, see Windows Help.) - The network location cannot be reached. For information about network troubleshooting, see Windows Help
26-10-2023 12:01:36: General Functions  :- sp_MastersError : A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: TCP Provider, error: 0 - The network location cannot be reached. For information about network troubleshooting, see Windows Help.) - The network location cannot be reached. For information about network troubleshooting, see Windows Help
26-10-2023 12:01:36: General Functions  :- sp_MastersError : A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: TCP Provider, error: 0 - The network location cannot be reached. For information about network troubleshooting, see Windows Help.) - The network location cannot be reached. For information about network troubleshooting, see Windows Help
26-10-2023 12:01:36: General Functions  :- sp_MastersError : A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: TCP Provider, error: 0 - The network location cannot be reached. For information about network troubleshooting, see Windows Help.) - The network location cannot be reached. For information about network troubleshooting, see Windows Help
26-10-2023 12:01:36: General Functions  :- sp_MerchandisingError : A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: TCP Provider, error: 0 - The network location cannot be reached. For information about network troubleshooting, see Windows Help.) - The network location cannot be reached. For information about network troubleshooting, see Windows Help
26-10-2023 12:01:36: General Functions  :- sp_MastersError : A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: TCP Provider, error: 0 - The network location cannot be reached. For information about network troubleshooting, see Windows Help.) - The network location cannot be reached. For information about network troubleshooting, see Windows Help
26-10-2023 12:05:24: General Functions  :- sp_TransactionError : Invalid column name 'udp_rot_ID'. - 
26-10-2023 12:17:26: General Functions  :- sp_TransactionError : Invalid column name 'udp_rot_ID'. - 
26-10-2023 12:23:40: General Functions  :- sp_TransactionError : Invalid column name 'udp_rot_ID'. - 
26-10-2023 13:03:27: General Functions  :- sp_TransactionError : Invalid column name 'udp_rot_ID'. - 
26-10-2023 13:04:06: General Functions  :- sp_TransactionError : Invalid column name 'udp_rot_ID'. - 
